cuenta_id,fecha,transaccion,monto,descripcion
104,10/07/2024,compra,1500,
102,09-02-2024,retiro,1500,Ingreso navideño
103,2024/09/24,deposito,1500,
112,12-06-2024,deposito,3000,Ingreso navideño
105,2024-08-11,deposito,,Compra en tienda
112,2024/04/01,compra,2500,
108,2024-12-08,retiro,1500,
108,30-09-2024,retiro,-500,
106,2024/07/20,deposito,2500,Retiro parcial
102,2024-04-29,retiro,2000,
113,20-07-2024,compra,2500,Retiro parcial
119,24-10-2024,compra,2000,
107,2024/03/18,compra,5000,
108,2024-02-21,depósito,1500,Retiro parcial
120,24/03/2024,retiro,2000,Compra en tienda
112,05-07-2024,depósito,1000,Compra en tienda
104,07/01/2024,compra,1000,Retiro parcial
112,2024-12-11,retiro,3000,
110,03/11/2024,compra,-100,Ingreso extra
108,2024-09-29,deposito,,Ingreso extra
113,28-12-2024,deposito,2000,
116,02-11-2024,depósito,2000,Ingreso mensual
106,02-02-2024,compra,1500,Compra en tienda
114,30/05/2024,compra,2500,
113,2024/12/11,depósito,1500,Compra en tienda
107,16-02-2024,compra,2500,Ingreso mensual
102,11-03-2024,deposito,-100,
108,13-03-2024,deposito,2000,Retiro parcial
101,22/03/2024,retiro,2000,Retiro parcial
105,2024-04-03,retiro,1000,Retiro parcial
105,14-08-2024,retiro,1000,Ingreso navideño
103,23/07/2024,compra,3000,Retiro parcial
109,2024/01/21,depósito,2000,Ingreso navideño
103,2024-02-12,compra,3000,Compra en tienda
120,2024/02/03,retiro,2500,
102,01-11-2024,compra,-100,Retiro parcial
111,16-02-2024,retiro,2000,Ingreso mensual
104,08-08-2024,compra,-100,Ingreso mensual
106,2024-09-27,compra,-100,Ingreso mensual
106,04/04/2024,compra,2500,Retiro parcial
117,29-08-2024,retiro,1000,Ingreso mensual
116,2024/05/13,retiro,1000,Ingreso mensual
106,2024/05/04,compra,-500,Retiro parcial
105,2024-12-13,compra,3000,Ingreso mensual
120,04/03/2024,compra,2500,
104,2024/10/10,retiro,2500,Ingreso navideño
116,2024-11-01,deposito,-100,Compra en tienda
