id,fecha,monto,tipo
251,14/07/2024,-200,debito
252,2024/05/25,700,debito
253,02-09-2024,,invalid
254,2024/10/26,1200,invalid
255,02-07-2024,-100,credito
256,2024-04-22,1500,credito
257,26/11/2024,1000,credito
258,2024/01/06,,credito
259,04-05-2024,,credito
260,2024-03-23,3000,desconocido
261,26/06/2024,500,debito
262,02/09/2024,,debito
263,02-07-2024,3000,invalid
264,2024-13-01,1500,invalid
265,16/12/2024,3000,debito
266,02-11-2024,-200,invalid
267,2024/04/06,,invalid
268,2024-05-24,800,credito
269,2024/07/27,1200,desconocido
270,2024-13-01,1200,invalid
271,2024-03-18,,desconocido
272,2024/09/04,3000,invalid
273,26/04/2024,1000,invalid
274,21/01/2024,1500,credito
275,2024/08/09,700,credito
276,16/10/2024,700,debito
277,12-08-2024,-100,credito
278,25/05/2024,-200,debito
279,2024-02-24,800,invalid
280,27-07-2024,1200,credito
281,2024/07/08,800,credito
282,08/08/2024,,debito
283,08/08/2024,0,debito
284,25-07-2024,1500,credito
285,13/12/2024,1500,desconocido
286,27-09-2024,800,credito
287,2024/11/17,800,debito
288,2024-09-03,-200,debito
289,2024/08/14,3000,debito
290,2024-06-15,1500,debito
291,2024-04-17,1000,invalid
292,2024/09/20,1000,credito
293,18/10/2024,1500,invalid
294,2024/07/01,700,desconocido
295,2024-06-12,,invalid
296,09/12/2024,,debito
297,2024-08-19,1000,desconocido
298,2024-13-01,700,debito
299,2024-10-10,700,invalid
300,2024-03-28,1500,invalid
301,2024-10-03,1500,credito
302,16/10/2024,,debito
303,19-10-2024,3000,credito
304,03-03-2024,1000,invalid
305,18-10-2024,700,invalid
306,2024-07-08,,invalid
307,02/01/2024,,credito
308,2024-13-01,,invalid
309,2024/03/23,1000,debito
310,14/12/2024,1000,invalid
311,2024-13-01,1000,credito
312,24/06/2024,1200,desconocido
313,16/10/2024,-200,invalid
314,22/03/2024,-200,invalid
315,2024-13-01,1200,debito
316,2024/04/01,,credito
317,19-01-2024,800,invalid
318,2024-06-04,1500,invalid
319,2024-05-08,-200,invalid
320,29/02/2024,700,invalid
321,2024-03-30,-200,debito
322,2024-01-28,,invalid
323,27/07/2024,700,credito
324,23/09/2024,800,invalid
325,22/03/2024,700,debito
326,2024/12/15,1200,invalid
327,30-04-2024,-200,desconocido
328,2024-11-10,1000,debito
329,2024-05-02,700,invalid
330,04/12/2024,,credito
331,13-11-2024,700,debito
332,2024/10/16,-200,credito
333,22-02-2024,,debito
334,16-08-2024,3000,debito
335,2024/08/17,1000,debito
336,2024/03/14,800,invalid
337,08-10-2024,3000,debito
338,2024/06/19,800,invalid
339,06-06-2024,,invalid
340,2024/03/05,-200,debito
341,2024-01-28,-200,invalid
342,08-07-2024,,debito
343,08-01-2024,3000,invalid
344,2024-10-21,700,credito
345,19/11/2024,700,invalid
346,2024/10/12,1500,invalid
347,20-05-2024,3000,invalid
348,13/07/2024,1500,credito
349,31/03/2024,800,credito
350,02-02-2024,1200,debito
351,31-08-2024,1200,debito
352,02/02/2024,-200,invalid
353,18-04-2024,,credito
354,10/01/2024,,debito
355,2024/03/15,800,credito
356,17-12-2024,-200,debito
357,2024-13-01,1000,credito
358,2024/10/10,,invalid
359,04/08/2024,,debito
360,23-04-2024,700,invalid
361,08/05/2024,,invalid
362,06/11/2024,1500,debito
363,2024/01/09,1000,invalid
364,04-09-2024,700,debito
365,2024/10/01,1200,credito
366,22-07-2024,700,debito
367,14-03-2024,1500,debito
368,26-07-2024,800,debito
369,2024/09/29,800,desconocido
370,02/10/2024,3000,debito
371,10-12-2024,1000,debito
372,2024-08-20,1200,debito
373,30-09-2024,800,debito
374,2024/07/25,800,desconocido
375,02-12-2024,1000,credito
376,2024-07-09,1200,credito
377,25/05/2024,,credito
378,19-05-2024,800,credito
379,2024/03/09,1000,invalid
380,26-12-2024,1200,debito
381,25/06/2024,,credito
382,04/07/2024,500,invalid
383,26-01-2024,800,invalid
384,2024/05/30,700,invalid
385,27-07-2024,1500,invalid
386,2024/01/01,-200,desconocido
