cuenta_id,fecha,transaccion,monto,descripcion
111,2024/05/01,deposito,1500,Ingreso extra
109,23-09-2024,retiro,-500,Ingreso mensual
104,23/05/2024,compra,3000,Ingreso navideño
110,10-03-2024,retiro,-100,
105,2024/05/16,deposito,-500,Ingreso extra
115,2024-11-29,deposito,1000,Ingreso extra
103,17/01/2024,compra,-100,Compra en tienda
103,2024-09-28,deposito,-100,Ingreso mensual
111,2024/02/09,retiro,3000,Ingreso extra
119,2024/01/29,deposito,0,
116,2024-02-16,compra,2000,
107,27-11-2024,retiro,2500,
102,2024-11-14,compra,1500,Retiro parcial
116,2024/04/06,deposito,3000,Ingreso mensual
116,14-02-2024,deposito,1000,Ingreso extra
107,2024/12/26,deposito,2000,
114,20/05/2024,retiro,1000,Ingreso navideño
117,11/07/2024,compra,2500,Ingreso extra
114,2024-04-10,depósito,-500,Ingreso navideño
102,2024-09-08,depósito,2000,Compra en tienda
105,2024/09/28,compra,2500,
120,15/09/2024,retiro,-500,Compra en tienda
101,09-01-2024,compra,1500,
108,17/11/2024,retiro,-100,
111,2024/06/08,retiro,3000,Ingreso extra
116,2024/10/15,compra,-100,Ingreso navideño
119,16/07/2024,deposito,2500,Ingreso navideño
116,01-02-2024,retiro,3000,Ingreso navideño
106,2024-03-12,compra,3000,Ingreso extra
119,23-09-2024,compra,2000,Retiro parcial
106,2024-11-11,deposito,-500,Ingreso extra
118,03-03-2024,retiro,1500,Ingreso mensual
106,01-07-2024,compra,3000,Ingreso mensual
116,29/10/2024,compra,3000,Retiro parcial
115,2024-06-24,deposito,-500,Ingreso navideño
108,2024-07-08,retiro,-100,Ingreso navideño
110,2024/08/08,compra,-500,Ingreso extra
101,2024-07-20,retiro,2000,Compra en tienda
110,08-02-2024,compra,,Retiro parcial
102,2024/07/20,compra,1500,Ingreso mensual
108,2024-04-16,compra,3000,Compra en tienda
105,01/09/2024,deposito,,Ingreso mensual
103,2024/09/29,compra,-100,
