id,fecha,monto,tipo
751,2024-11-13,3000,invalid
752,02-05-2024,,invalid
753,13/10/2024,3000,debito
754,01-09-2024,1500,debito
755,2024-13-01,1200,invalid
756,15/07/2024,800,debito
757,11-10-2024,1000,credito
758,2024-06-14,1200,invalid
759,2024-03-31,1500,debito
760,2024-07-28,800,debito
761,2024/06/10,3000,debito
762,2024/08/15,1500,debito
763,2024/07/23,3000,invalid
764,09-11-2024,1000,credito
765,2024-06-26,,credito
766,11/04/2024,1200,credito
767,2024-01-22,1500,credito
768,25/12/2024,700,invalid
769,25-11-2024,-200,invalid
770,2024-08-27,1500,credito
771,24/12/2024,,debito
772,05-09-2024,1500,invalid
773,19/03/2024,,debito
774,08/04/2024,1000,credito
775,06-04-2024,-200,invalid
776,13-07-2024,800,credito
777,25/01/2024,3000,credito
778,2024-08-11,800,debito
779,31-03-2024,-200,debito
780,2024-02-16,1200,desconocido
781,2024/01/12,700,invalid
782,18-11-2024,,credito
783,28/02/2024,1000,credito
784,2024-08-09,,credito
785,07-05-2024,,debito
786,2024-08-25,,invalid
787,2024-05-19,1000,credito
788,31/10/2024,,debito
789,27/05/2024,1000,credito
790,2024-11-11,1000,credito
791,28/06/2024,-200,credito
792,2024-07-08,-200,invalid
793,2024/12/04,1200,desconocido
794,30-12-2024,,credito
795,29-11-2024,800,debito
796,2024/01/16,-200,invalid
797,08-09-2024,800,debito
798,07-12-2024,1000,debito
799,2024-13-01,3000,debito
800,2024/01/27,-100,invalid
801,14/01/2024,,invalid
802,29-02-2024,1200,credito
803,12-02-2024,1200,desconocido
804,11/07/2024,-200,invalid
805,17-10-2024,,debito
806,14/01/2024,-200,invalid
807,2024-12-01,700,debito
808,2024-01-04,-200,debito
809,2024-01-18,-200,invalid
810,13/10/2024,,credito
811,2024/07/24,1200,debito
812,20-05-2024,,invalid
813,2024-03-17,1200,invalid
814,2024-10-22,700,credito
815,2024/11/19,,debito
816,2024/01/28,,invalid
817,2024/07/10,3000,invalid
818,19/06/2024,-100,debito
819,13/06/2024,700,invalid
820,2024/08/12,3000,credito
821,2024-04-07,,debito
822,2024/09/18,1200,credito
823,2024-01-28,-200,debito
824,2024/04/16,3000,credito
825,2024-05-14,700,invalid
826,15/10/2024,500,debito
827,06/02/2024,-200,debito
828,2024-05-23,1500,invalid
829,2024-13-01,3000,debito
830,10/10/2024,3000,debito
831,03/08/2024,1000,debito
832,2024-06-26,700,debito
833,16-05-2024,700,debito
834,02/02/2024,3000,credito
835,2024-13-01,1500,credito
836,2024-06-08,1500,credito
837,2024/07/10,1200,invalid
838,2024-13-01,,credito
839,2024/04/23,-200,credito
840,2024/08/12,800,debito
841,2024/08/15,0,invalid
842,2024/10/30,1500,credito
843,12-03-2024,1500,credito
844,23-11-2024,-200,debito
845,31-08-2024,1500,invalid
846,2024-08-30,,credito
847,2024/10/14,1000,debito
848,07-06-2024,1200,credito
849,2024/05/01,-200,debito
850,2024/12/20,3000,credito
851,23/03/2024,,credito
852,2024-13-01,1000,invalid
853,03-07-2024,700,desconocido
854,27-06-2024,500,debito
855,20-08-2024,-200,credito
856,22-07-2024,-200,credito
857,2024-10-29,800,debito
858,12-11-2024,,credito
859,2024-04-08,3000,debito
860,2024/02/08,-200,invalid
861,13/09/2024,-200,debito
862,24/07/2024,,debito
863,2024-13-01,-200,invalid
